what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1314638801915
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1314638801924
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1314638801926
os,sysinfo,,,"linux",1314638801934
arch,sysinfo,,,"x86_64",1314638801934
ws,sysinfo,,,"gtk",1314638801934
locale,sysinfo,,,"en_DK",1314638801934
processors,sysinfo,,,"2",1314638801935
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1314638801935
java.runtime.version,sysinfo,,,"1.6.0_22-b22",1314638801935
java.specification.name,sysinfo,,,"Java Platform API Specification",1314638801935
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1314638801935
java.specification.version,sysinfo,,,"1.6",1314638801935
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1314638801935
java.version,sysinfo,,,"1.6.0_22",1314638801935
java.vm.info,sysinfo,,,"mixed mode",1314638801935
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1314638801935
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1314638801935
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1314638801935
java.vm.specification.version,sysinfo,,,"1.0",1314638801935
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1314638801935
java.vm.version,sysinfo,,,"20.0-b11",1314638801935
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1314638801943
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1314638802212
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1314638802322
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1314638802393
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1314638802727
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1314638802946
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1314638803042
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1314638803296
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1314638803311
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314638865939
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314638869005
started,bundle,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms",1314638871587
started,bundle,org.eclipse.wst.sse.core,1.1.505.v201104070043,"org.eclipse.wst.sse.core",1314638871772
started,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1314638871780
started,bundle,com.android.ide.eclipse.traceview,12.0.0.v201106281929-138431,"com.android.ide.eclipse.traceview",1314638871820
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1314638872048
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1314638872058
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314639233515
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314639240312
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314639248499
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314639261492
error,log,,,"Failed to load properties file for project 'HelloWorldApp'",1314639602814
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1314639602953
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1314639602991
started,bundle,org.eclipse.jst.servlet.ui,1.1.404.v201101270100,"org.eclipse.jst.servlet.ui",1314639603485
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1314639603689
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.201.v201011231540,"org.eclipse.jst.ws.jaxrs.core",1314639603794
started,bundle,org.eclipse.wst.jsdt.core,1.1.5.v201104272136,"org.eclipse.wst.jsdt.core",1314639604455
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1314639605022
started,bundle,org.eclipse.wst.jsdt.ui,1.1.5.v201104070556,"org.eclipse.wst.jsdt.ui",1314639605075
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1314639605268
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1314639605442
started,bundle,org.eclipse.wst.common.modulecore,1.2.6.v201103310300,"org.eclipse.wst.common.modulecore",1314639605468
started,bundle,org.eclipse.jst.j2ee.core,1.2.5.v201104261700,"org.eclipse.jst.j2ee.core",1314639605531
started,bundle,org.eclipse.jem,2.0.401.v201104271300,"org.eclipse.jem",1314639605612
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1314639605762
started,bundle,org.eclipse.wst.xml.core,1.1.504.v201104070043,"org.eclipse.wst.xml.core",1314639605785
started,bundle,org.eclipse.wst.validation,1.2.202.v201103212041,"org.eclipse.wst.validation",1314639605860
started,bundle,org.eclipse.jst.j2ee,1.1.405.v201104141500,"org.eclipse.jst.j2ee",1314639606011
started,bundle,org.eclipse.jst.jee.ui,1.0.304.v201101272100,"org.eclipse.jst.jee.ui",1314639606014
started,bundle,org.eclipse.jst.j2ee.ui,1.1.404.v201101122300,"org.eclipse.jst.j2ee.ui",1314639606042
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.403.v201012020600,"org.eclipse.jst.j2ee.navigator.ui",1314639606113
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1314639609019
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1314639609039
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1314639609080
opened,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1314639609496
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1314639609744
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1314639610969
opened,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1314639611532
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1314639611655
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1314639611784
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1314639612259
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314639612326
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1314639617332
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1314639626680
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1314639626832
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1314639628040
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1314639628199
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1314639628271
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1314639635729
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1314639635889
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1314639635927
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1314639637184
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1314639639822
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1314639640070
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1314639640106
started,bundle,org.eclipse.wst.server.core,1.1.207.v20110401_1511,"org.eclipse.wst.server.core",1314639640415
started,bundle,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui",1314639640465
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1314639640834
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1314639640982
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314639641136
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1314639645474
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314639645570
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314639645979
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314639651969
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314639652282
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314639679550
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314639679939
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1314639680114
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314639688671
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314639691360
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314639803954
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314639806640
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314639806821
